truck_make,truck_model,truck_year,license_plate,color,fuel_type,transmission,weight_capacity,length,width,height,purchase_date,sale_date,status
Mitsubishi,Lancer Evolution,2002,ABC123,Indigo,Diesel,Manual,3085,180,64,75,6/18/2002,5/28/2016,Active
Pontiac,Montana SV6,2005,ABC123,Yellow,Gasoline,Manual,6039,222,53,98,4/12/2004,12/31/2012,Inactive
Jeep,Cherokee,1992,XYZ456,Orange,Diesel,Manual,9708,114,73,87,5/27/2022,6/8/2011,Inactive
Acura,TL,1997,ABC123,Blue,Diesel,Automatic,4637,247,62,86,7/19/2008,7/25/2010,Active
Dodge,Avenger,1995,ABC123,Crimson,Electric,Manual,5694,258,61,63,6/30/2021,2/11/2001,Inactive
Saab,9000,1987,DEF789,Aquamarine,Diesel,Automatic,5111,296,61,52,2/20/2009,1/15/2017,Active
Lincoln,MKZ,2007,ABC123,Goldenrod,Diesel,Automatic,8308,198,53,57,8/15/2009,9/6/2018,Active
Honda,Civic Si,2005,DEF789,Violet,Diesel,Manual,4463,163,75,85,10/3/2002,2/20/2009,Active
GMC,Savana 1500,2011,ABC123,Goldenrod,Diesel,Manual,6742,123,83,66,8/2/2015,7/21/2014,Inactive
Ford,Taurus,1994,XYZ456,Blue,Diesel,Manual,2654,127,52,56,4/12/2022,7/20/2011,Active
Lincoln,LS,2004,DEF789,Pink,Electric,Manual,5792,250,61,64,5/21/2018,8/14/2012,Active
Lotus,Exige,2004,DEF789,Green,Electric,Automatic,5911,146,57,69,6/16/2009,1/9/2021,Inactive
BMW,545,2005,XYZ456,Crimson,Gasoline,Manual,8811,280,99,84,12/27/2009,2/17/2005,Inactive
Kia,Sedona,2012,ABC123,Teal,Diesel,Manual,1483,238,81,76,8/5/2019,3/8/2006,Inactive
Eagle,Talon,1994,ABC123,Fuscia,Gasoline,Manual,5186,123,81,76,1/16/2011,12/5/2019,Active
Nissan,Quest,2005,XYZ456,Crimson,Diesel,Automatic,7266,157,51,54,11/14/2002,3/21/2003,Inactive
Kia,Sportage,2000,XYZ456,Maroon,Diesel,Manual,8904,161,72,92,2/6/2021,10/24/2022,Inactive
Mitsubishi,Diamante,2003,ABC123,Pink,Diesel,Automatic,6786,252,63,58,9/26/2011,12/21/2004,Active
GMC,1500,1997,ABC123,Mauv,Electric,Automatic,1097,113,66,54,4/7/2005,11/5/2009,Inactive
Ford,Taurus,1990,XYZ456,Crimson,Diesel,Automatic,5835,274,85,56,3/2/2017,6/5/2005,Active
GMC,2500 Club Coupe,1994,XYZ456,Indigo,Diesel,Manual,5629,232,91,86,11/2/2014,2/3/2019,Inactive
Toyota,Celica,1997,XYZ456,Green,Gasoline,Automatic,8444,238,50,88,12/31/2011,3/26/2015,Inactive
